Linux 3.19.0-25-generic (dss-storage-1) 	10/27/2015 	_x86_64_	(24 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          10.07    0.00    3.56    2.08    0.00   84.29

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdj               0.00     4.00    0.00   24.00     0.00 18280.00  1523.33     1.36   58.83    0.00   58.83  25.33  60.80
sdk               0.00    14.00    0.00   65.00     0.00 50272.00  1546.83     4.99   78.77    0.00   78.77  15.32  99.60
sdm               0.00    22.00    0.00   68.00     0.00 60836.00  1789.29     4.60   71.59    0.00   71.59  14.47  98.40
sdo               0.00    18.00    0.00   52.00     0.00 48680.00  1872.31     4.08   80.38    0.00   80.38  19.00  98.80
sdn               0.00    15.00    0.00   52.00     0.00 48096.00  1849.85     2.88   59.00    0.00   59.00  19.08  99.20
sdp               0.00    19.00    0.00   63.00     0.00 52332.00  1661.33     4.70   76.19    0.00   76.19  15.87 100.00
sdr               0.00    14.00    0.00   53.00     0.00 46620.00  1759.25     3.59   67.55    0.00   67.55  18.79  99.60
sds               0.00    60.00    3.00  358.00    24.00 50554.00   280.21    19.58   54.06   80.00   53.84   2.77 100.00
sdt               0.00    78.00    3.00  431.00    24.00 51183.50   235.98     7.70   18.18  150.67   17.26   2.30 100.00
sdq               0.00    15.00    0.00   59.00     0.00 50728.00  1719.59     4.28   74.03    0.00   74.03  16.68  98.40
sdv               0.00    14.00    0.00   35.00     0.00 36196.00  2068.34     2.59   74.06    0.00   74.06  27.89  97.60
sdw               0.00    10.00    0.00   47.00     0.00 34596.00  1472.17     2.53   53.96    0.00   53.96  16.85  79.20
sdu               0.00     4.00    0.00   17.00     0.00 13392.00  1575.53     1.51   86.12    0.00   86.12  27.29  46.40
sdy               0.00    14.00    0.00   45.00     0.00 39136.00  1739.38     3.00   66.22    0.00   66.22  20.44  92.00
sdx               0.00    16.00    0.00   84.00     0.00 57460.00  1368.10     6.95   79.38    0.00   79.38  11.86  99.60
sdz               0.00    55.00    0.00   54.00     0.00  7824.00   289.78     1.68   31.04    0.00   31.04   8.07  43.60
dm-0              0.00     0.00    0.00  109.00     0.00  7824.00   143.56     2.39   21.91    0.00   21.91   4.00  43.60
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          30.93    0.00   19.64   19.90    0.00   29.53

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00    16.00    0.00   61.00     0.00 56968.00  1867.80     3.20   58.30    0.00   58.30  14.36  87.60
sdb               0.00    20.00    0.00   49.00     0.00 49576.00  2023.51     2.54   49.47    0.00   49.47  17.63  86.40
sdc               0.00    19.00    0.00   77.00     0.00 64676.00  1679.90     3.76   51.27    0.00   51.27  12.62  97.20
sdd               0.00    28.00    0.00   78.00     0.00 74456.00  1909.13     4.24   54.82    0.00   54.82  12.67  98.80
sde               0.00    13.00    0.00   45.00     0.00 42196.00  1875.38     2.57   61.42    0.00   61.42  17.78  80.00
sdf               0.00    22.00    0.00   47.00     0.00 50300.00  2140.43     2.11   40.85    0.00   40.85  20.68  97.20
sdg               0.00    39.00    0.00   91.00     0.00 90788.00  1995.34     7.01   74.77    0.00   74.77  10.99 100.00
sdh               0.00    21.00    0.00   58.00     0.00 55644.00  1918.76     4.74   83.66    0.00   83.66  17.03  98.80
sdi               0.00    23.00    0.00   72.00     0.00 66408.00  1844.67     4.09   52.67    0.00   52.67  13.78  99.20
sdl               0.00    11.00    0.00   50.00     0.00 44324.00  1772.96     3.14   63.44    0.00   63.44  14.32  71.60
sdj               0.00     5.00    0.00   24.00     0.00 18072.00  1506.00     1.34   56.33    0.00   56.33  17.83  42.80
sdk               0.00    20.00    0.00   63.00     0.00 60668.00  1925.97     2.84   45.59    0.00   45.59  15.56  98.00
sdm               0.00    21.00    0.00   61.00     0.00 59360.00  1946.23     2.68   42.89    0.00   42.89  16.20  98.80
sdo               0.00    14.00    0.00   48.00     0.00 44256.00  1844.00     2.20   46.42    0.00   46.42  17.58  84.40
sdn               0.00    12.00    0.00   50.00     0.00 43248.00  1729.92     2.17   44.56    0.00   44.56  13.76  68.80
sdp               0.00    20.00    0.00   58.00     0.00 58080.00  2002.76     2.68   48.07    0.00   48.07  16.90  98.00
sdr               0.00    24.00    0.00   85.00     0.00 68052.00  1601.22     3.85   44.19    0.00   44.19  11.53  98.00
sds               0.00    12.00    0.00   44.00     0.00 39532.00  1796.91     4.16  102.45    0.00  102.45  22.55  99.20
sdt               0.00    13.00    0.00   25.00     0.00 30084.00  2406.72     3.52  145.76    0.00  145.76  39.84  99.60
sdq               0.00     4.00    0.00   23.00     0.00 17776.00  1545.74     0.68   29.91    0.00   29.91  19.65  45.20
sdv               0.00    23.00    0.00   68.00     0.00 61588.00  1811.41     3.66   52.59    0.00   52.59  14.06  95.60
sdw               0.00    10.00    0.00   60.00     0.00 42852.00  1428.40     3.11   46.40    0.00   46.40  12.33  74.00
sdu               0.00    10.00    0.00   36.00     0.00 29188.00  1621.56     2.46   69.67    0.00   69.67  14.00  50.40
sdy               0.00    17.00    0.00   56.00     0.00 51808.00  1850.29     3.54   64.07    0.00   64.07  13.36  74.80
sdx               0.00    32.00    0.00   81.00     0.00 83040.00  2050.37     4.89   64.40    0.00   64.40  12.25  99.20
sdz               0.00   135.00    0.00   83.00     0.00 22196.00   534.84     1.53   18.46    0.00   18.46   8.87  73.60
dm-0              0.00     0.00    0.00  218.00     0.00 22196.00   203.63     3.27   15.01    0.00   15.01   3.38  73.60
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          33.66    0.00   16.92   18.86    0.00   30.57

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00    14.00    0.00   70.00     0.00 50580.00  1445.14     2.88   41.66    0.00   41.66  11.14  78.00
sdb               0.00     9.00    1.00   49.00     4.00 39460.00  1578.56     2.02   43.76   16.00   44.33  11.20  56.00
sdc               0.00    28.00    0.00   82.00     0.00 72084.00  1758.15     3.97   47.12    0.00   47.12  12.15  99.60
sdd               0.00    29.00    0.00   84.00     0.00 76792.00  1828.38     4.00   48.48    0.00   48.48  11.76  98.80
sde               0.00     8.00    0.00   57.00     0.00 36164.00  1268.91     2.08   37.05    0.00   37.05  10.81  61.60
sdf               0.00    26.00    0.00   93.00     0.00 81172.00  1745.63     4.36   47.53    0.00   47.53  10.75 100.00
sdg               0.00    31.00    0.00   98.00     0.00 86280.00  1760.82     5.09   52.98    0.00   52.98  10.20 100.00
