Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w15-s22-16m-32t-1,read,435,7127040000,32,4261.71,28.09,4710,5790,6630,7640,8350,10620,7.49,122761546.64,86.83%,100% cprefix=dssreadbench containers=u(31-40) oprefix= osuffix=myobject objects=r(1-10)
w15-s23-16m-64t-1,read,418,6848512000,64,8383.35,50.15,8660,10820,12750,15310,22760,28840,7.61,124665146.4,83.27%,100% cprefix=dssreadbench containers=u(31-40) oprefix= osuffix=myobject objects=r(1-10)
w15-s24-16m-128t-1,read,384,6291456000,128,16752.47,80.68,17110,19720,21540,22840,31070,36310,7.66,125550159.08,83.84%,100% cprefix=dssreadbench containers=u(31-40) oprefix= osuffix=myobject objects=r(1-10)
w15-s25-64m-1t-1,read,63,4128768000,1,946.71,58.6,860,1200,1430,1480,1640,1660,1.06,69222365.66,100%,100% cprefix=dssreadbench containers=u(41-50) oprefix= osuffix=myobject objects=r(1-10)
w15-s26-64m-4t-1,read,108,7077888000,4,2162.82,52.5,1770,3320,4520,5760,6150,7580,1.84,120575879.97,100%,100% cprefix=dssreadbench containers=u(41-50) oprefix= osuffix=myobject objects=r(1-10)
w15-s27-64m-16t-1,read,103,6750208000,16,8554.02,53.45,9620,11570,13330,13890,15000,16720,1.88,122996126.89,100%,100% cprefix=dssreadbench containers=u(41-50) oprefix= osuffix=myobject objects=r(1-10)
w16-s1-64m-1t-1,read,61,3997696000,1,967.57,73.56,920,1060,1300,1450,1690,1710,1.03,67726565.81,100%,100% cprefix=dssreadbench containers=u(41-50) oprefix= osuffix=myobject objects=r(1-10)
w16-s2-64m-4t-1,read,94,6160384000,4,2346.26,55.46,2110,3690,4600,5680,7890,7920,1.7,111258296.77,100%,100% cprefix=dssreadbench containers=u(41-50) oprefix= osuffix=myobject objects=r(1-10)
w16-s3-64m-16t-1,read,98,6422528000,16,8538.83,58.16,8530,10940,13230,14390,20370,26400,1.88,123305132.47,100%,100% cprefix=dssreadbench containers=u(41-50) oprefix= osuffix=myobject objects=r(1-10)
w17-s1-cleanup-1,cleanup-delete,5000,0,1,18.65,18.65,20,20,30,40,90,650,53.54,0,100%,100% cprefix=dssreadbench containers=r(1-50) oprefix= osuffix=myobject objects=r(1-100) cprefix=dssreadbench containers=r(1-50) oprefix= osuffix=myobject objects=r(1-100) cprefix=dssreadbench containers=r(1-50) oprefix= osuffix=myobject objects=r(1-100) deleteContainer=false cprefix=dssreadbench containers=r(1-50) oprefix= osuffix=myobject objects=r(1-100)
w17-s2-dispose-1,dispose-delete,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=dssreadbench containers=r(1-300) cprefix=dssreadbench containers=r(1-300) cprefix=dssreadbench containers=r(1-300) objects=r(0-0) sizes=c(0)B cprefix=dssreadbench containers=r(1-300)
