================================================== stage: s1-dispose ==================================================
---------------------------------- mission: MFE184CCC1F, driver: driver1 ----------------------------------
2015-11-07 10:37:12,502 [INFO] [NoneStorage] - performing DELETE at /dsswritebench282
2015-11-07 10:37:12,531 [INFO] [NoneStorage] - performing DELETE at /dsswritebench283
2015-11-07 10:37:12,569 [INFO] [NoneStorage] - performing DELETE at /dsswritebench284
2015-11-07 10:37:12,593 [INFO] [NoneStorage] - performing DELETE at /dsswritebench285
2015-11-07 10:37:12,618 [INFO] [NoneStorage] - performing DELETE at /dsswritebench286
2015-11-07 10:37:12,659 [INFO] [NoneStorage] - performing DELETE at /dsswritebench287
2015-11-07 10:37:12,688 [INFO] [NoneStorage] - performing DELETE at /dsswritebench288
2015-11-07 10:37:12,713 [INFO] [NoneStorage] - performing DELETE at /dsswritebench289
2015-11-07 10:37:12,738 [INFO] [NoneStorage] - performing DELETE at /dsswritebench290
2015-11-07 10:37:12,766 [INFO] [NoneStorage] - performing DELETE at /dsswritebench291
2015-11-07 10:37:12,805 [INFO] [NoneStorage] - performing DELETE at /dsswritebench292
2015-11-07 10:37:12,831 [INFO] [NoneStorage] - performing DELETE at /dsswritebench293
2015-11-07 10:37:12,889 [INFO] [NoneStorage] - performing DELETE at /dsswritebench294
2015-11-07 10:37:12,918 [INFO] [NoneStorage] - performing DELETE at /dsswritebench295
2015-11-07 10:37:12,943 [INFO] [NoneStorage] - performing DELETE at /dsswritebench296
2015-11-07 10:37:12,969 [INFO] [NoneStorage] - performing DELETE at /dsswritebench297
2015-11-07 10:37:13,000 [INFO] [NoneStorage] - performing DELETE at /dsswritebench298
2015-11-07 10:37:13,024 [INFO] [NoneStorage] - performing DELETE at /dsswritebench299
2015-11-07 10:37:13,049 [INFO] [NoneStorage] - performing DELETE at /dsswritebench300
